,id_districtname,id_regionname,villmtaaname,hh_size,mealsperday,Student_age,Dropout,SchoolhasGirlsroom,PTR,PCR,GPLR,BPLR,PTMR,Student_readbookwithparent,Parentteacherdiscussion,ParentCheckChildbook,EA_area,Studentsex,Income__source
50500,23,10,419,8,2,8,1,2,45.0909080505371,82.6666641235352,25.7000007629395,19.9166660308838,0.0,2,2,2,2,1,2
20215,78,14,2863,8,2,8,1,2,39.6666679382324,34.0,23.2000007629395,24.399999618530302,0.0,2,2,2,2,1,2
23035,33,4,1871,7,3,10,1,2,37.75,37.75,13.0909090042114,15.8000001907349,0.0,2,1,1,2,1,2
60344,11,3,148,15,2,10,1,2,56.0,98.0,42.4000015258789,36.0,196.0,2,2,2,2,1,2
15243,130,17,1390,7,1,11,1,2,39.1428565979004,51.375,70.3333358764648,100.0,82.1999969482422,2,2,2,3,2,0
61063,16,3,3208,12,2,11,1,2,42.5909080505371,133.85714721679702,52.25,64.875,9.760416984558109,2,2,1,2,1,2
34132,121,18,3537,8,2,11,1,2,49.466667175293,92.75,81.5999984741211,66.8000030517578,148.399993896484,2,2,1,2,1,2
60048,84,3,221,19,3,8,1,2,50.625,57.8571434020996,38.8333320617676,28.6666660308838,0.0,2,2,2,2,1,2
16669,51,9,683,7,3,9,1,2,43.8571434020996,51.1666679382324,47.45454406738279,49.25,0.0,2,2,1,2,1,2
49276,128,11,3344,9,2,10,1,2,52.3636360168457,64.0,46.4000015258789,68.8000030517578,288.0,2,2,1,2,1,2
59905,84,3,508,9,3,9,0,1,46.111110687255895,59.2857131958008,47.45454406738279,49.25,83.0,1,1,1,2,2,2
55399,102,6,3508,4,2,11,1,2,49.1333351135254,92.125,122.333335876465,123.333335876465,2.1362318992614697,2,1,1,2,1,2
56282,6,21,3167,10,2,7,1,2,46.6428565979004,72.55555725097659,118.0,99.6666641235352,20.40625,2,2,2,2,1,2
20322,78,14,957,3,3,10,1,2,23.7000007629395,33.8571434020996,17.6666660308838,21.8333339691162,0.0,2,2,1,2,1,2
59190,123,3,621,10,2,15,1,2,42.3333320617676,63.5,47.45454406738279,49.25,101.599998474121,2,2,2,2,1,2
19170,77,14,2041,4,2,8,1,2,48.3571434020996,67.6999969482422,40.4444427490234,34.7777786254883,32.238094329834,2,2,2,2,1,2
974,103,2,238,7,2,14,1,2,35.0909080505371,55.1428565979004,65.0,63.6666679382324,38.5999984741211,2,2,2,2,2,2
1453,15,2,2986,5,0,15,1,2,62.153846740722706,101.0,78.1666641235352,56.5,53.8666648864746,1,1,1,2,2,2
9885,47,24,1933,4,3,11,1,2,27.0769233703613,88.0,58.3333320617676,59.0,0.0,2,1,1,2,2,2
13930,43,17,452,5,3,13,1,2,32.1538467407227,59.7142868041992,37.1666679382324,32.5,41.7999992370605,1,1,1,2,2,2
4602,1,0,3268,2,2,16,1,1,45.4285697937012,63.4000015258789,47.45454406738279,49.25,106.0,1,1,1,2,1,4
30192,91,22,504,6,2,8,1,2,59.5714302062988,59.5714302062988,32.0,56.25,10.692307472229,1,1,1,2,1,2
1911,19,2,1180,4,2,8,1,2,22.037036895752,66.11111450195311,78.75,70.0,297.5,2,1,1,3,2,2
22984,33,4,553,6,3,13,1,2,33.7777786254883,86.8571395874023,31.5,29.2999992370605,0.0,2,2,2,2,2,2
53482,120,16,1665,4,3,13,1,1,24.807691574096697,49.615383148193395,14.6666669845581,18.3125,129.0,2,1,1,3,1,2
10827,59,24,1472,5,3,14,1,2,24.0666675567627,51.5714302062988,90.0,90.5,0.0,2,2,1,3,1,2
3215,96,0,1873,6,3,11,1,2,44.75,71.5999984741211,36.2999992370605,58.8333320617676,0.0,2,1,1,2,1,2
57466,87,21,704,8,2,12,1,2,41.6923065185547,67.75,47.1666679382324,43.1666679382324,271.0,2,2,1,2,1,2
11153,25,24,1197,5,3,10,1,2,31.117647171020497,66.125,76.5,55.75,529.0,1,1,1,3,2,2
32926,38,23,930,6,2,7,1,2,37.42856979370121,63.4000015258789,87.0,109.5,157.199996948242,1,2,1,2,1,2
50289,2,10,47,12,3,11,1,2,36.3333320617676,54.5,38.5,34.1666679382324,54.5,1,1,1,2,1,2
8817,126,24,3293,3,3,9,1,2,23.0,63.4000015258789,31.4285717010498,24.25,82.8000030517578,2,2,1,3,1,2
21395,83,19,1891,2,2,9,1,2,53.0,53.0,19.75,20.0,0.0,2,2,2,2,2,1
54801,101,6,3550,8,3,12,1,2,42.3333320617676,95.25,77.0,75.4000015258789,76.1999969482422,0,0,1,3,1,2
47475,134,11,1391,6,2,11,1,2,47.882354736328104,101.75,33.9166679382324,33.9166679382324,0.0,2,2,1,2,2,2
22435,124,19,1638,10,3,10,1,2,45.8571434020996,53.5,57.0,50.0,0.0,2,2,1,2,1,2
49120,128,11,1436,6,3,12,1,2,44.875,44.875,37.2000007629395,34.5999984741211,0.0,1,1,1,2,2,2
52963,158,16,602,6,3,9,1,1,50.846153259277294,50.846153259277294,45.875,36.75,0.0,2,1,1,2,1,2
20940,143,19,453,4,3,12,1,2,36.6666679382324,31.4285717010498,23.2000007629395,26.0,0.0,2,1,1,2,1,2
37123,8,7,2185,12,2,8,1,2,49.2727279663086,108.400001525879,46.6666679382324,43.6666679382324,0.0,2,2,1,2,2,2
61047,16,3,1824,15,2,15,1,2,43.5,124.285713195801,69.3333358764648,90.8000030517578,48.3333320617676,1,1,1,3,1,2
52843,158,16,3605,5,2,8,1,2,22.5,25.7142848968506,12.5,35.0,0.0,2,2,1,2,2,2
24562,74,4,2327,7,3,15,1,2,33.1666679382324,54.2727279663086,26.0833339691162,23.6666660308838,597.0,2,1,1,3,2,2
25093,82,12,748,7,2,13,1,2,55.5999984741211,39.714286804199205,38.5,24.7999992370605,0.0,2,1,1,2,1,2
36807,156,7,3194,5,3,13,1,2,40.1875,91.8571395874023,26.3636360168457,27.1538467407227,0.0,2,2,1,2,1,2
21404,83,19,1891,5,2,7,1,2,53.0,53.0,19.75,20.0,0.0,2,1,1,2,2,2
24662,74,4,2145,5,3,15,1,2,29.4500007629395,78.533332824707,41.2000007629395,37.3333320617676,117.800003051758,2,1,1,3,2,2
59021,21,3,1032,10,2,12,1,2,33.228572845459,72.6875,40.92856979370121,49.1666679382324,7.04848480224609,1,1,1,2,1,2
42542,9,5,183,7,3,11,1,2,31.100000381469698,51.8333320617676,38.25,52.6666679382324,15.5500001907349,2,1,1,3,2,1
38572,54,20,3428,4,3,12,1,2,49.75,56.8571434020996,75.0,57.6666679382324,79.5999984741211,2,2,1,2,2,2
26150,29,12,2508,8,2,9,1,2,48.5833320617676,83.2857131958008,18.1666660308838,52.1428565979004,0.0,2,1,1,2,2,2
