,id_districtname,id_regionname,villmtaaname,hh_size,mealsperday,Student_age,Dropout,SchoolhasGirlsroom,PTR,PCR,GPLR,BPLR,PTMR,Student_readbookwithparent,Parentteacherdiscussion,ParentCheckChildbook,EA_area,Studentsex,Income__source
7330,68,24,1302,7,3,14,1,1,25.100000381469698,31.375,28.75,34.0,83.6666641235352,1,1,1,2,1,2
41788,7,5,2936,16,2,11,1,2,64.25,192.75,71.9000015258789,82.3000030517578,385.5,2,0,0,2,2,2
52794,158,16,765,6,3,9,1,1,31.555555343627898,40.57143020629879,26.8333339691162,20.5,94.6666641235352,2,2,2,2,2,2
60880,16,3,2355,5,2,14,1,2,34.3333320617676,64.375,84.0,87.6666641235352,0.0,2,2,2,3,2,2
50270,2,10,3281,11,3,11,1,2,40.230770111084,63.4000015258789,42.8571434020996,31.8571434020996,6.537499904632571,2,2,2,2,2,2
34822,144,18,266,8,2,14,1,2,59.0999984741211,84.42857360839841,34.5555572509766,31.1111106872559,16.4166660308838,2,2,1,2,2,2
40789,10,5,755,4,2,9,1,2,19.6363639831543,39.2727279663086,26.5,31.4285717010498,14.3999996185303,2,1,1,2,2,2
37294,8,7,1250,6,2,10,1,2,36.0,51.4285697937012,30.6666660308838,25.1428565979004,0.0,2,2,2,2,2,2
38751,54,20,2162,5,3,10,1,2,31.0666675567627,58.25,39.3333320617676,38.3333320617676,46.5999984741211,1,2,2,3,2,2
32650,38,23,1655,7,2,11,1,2,53.0,53.0,47.0,59.0,8.833333015441891,1,1,1,2,1,2
7491,68,24,1149,7,2,11,1,2,34.375,34.375,10.230769157409698,10.923076629638699,91.6666641235352,1,1,1,2,1,2
3961,40,0,1069,5,3,12,1,1,37.5454559326172,59.0,27.875,19.0,82.5999984741211,2,2,2,2,2,2
33793,145,18,1900,7,2,11,1,2,40.1764717102051,85.375,51.7142868041992,64.1999969482422,13.134614944458,2,2,1,2,2,2
31444,157,23,895,13,3,13,1,2,46.6666679382324,93.3333358764648,97.6666641235352,89.0,0.0,2,2,2,2,1,2
7860,58,24,2057,12,3,10,1,1,64.625,73.8571395874023,60.5,68.75,103.400001525879,1,1,1,2,2,2
56361,6,21,44,6,2,15,1,2,19.943395614624,70.466667175293,69.0,126.25,21.1399993896484,2,1,1,3,1,2
48473,110,11,709,7,3,11,1,1,32.2999992370605,53.8333320617676,47.25,19.142856597900398,161.5,2,1,1,3,1,1
409,56,2,336,6,2,6,1,2,36.25,41.42856979370121,35.75,36.75,145.0,0,1,1,2,2,2
10046,47,24,1499,7,3,9,1,2,33.7777786254883,43.4285697937012,143.0,161.0,20.266666412353498,1,1,1,2,2,2
52155,3,10,489,5,3,8,1,2,28.095237731933604,45.384616851806605,24.3333339691162,24.8333339691162,49.1666679382324,1,2,1,2,2,2
19787,115,14,2871,5,3,10,1,1,65.875,75.2857131958008,64.0,67.75,105.400001525879,2,2,1,2,2,2
39231,141,20,2956,9,3,9,1,2,40.3333320617676,34.5714302062988,21.3333339691162,19.0,121.0,2,2,2,2,2,2
6485,22,8,407,6,2,13,1,2,23.1428565979004,20.25,13.5,13.5,4.1538462638855,2,1,1,2,1,2
8687,148,24,1105,7,3,9,1,1,28.239999771118196,88.25,38.111110687255895,121.0,0.0,1,1,1,2,2,2
30575,125,23,1614,8,2,10,1,2,45.615383148193395,98.8333358764648,100.666664123535,97.0,0.0,2,2,1,2,2,2
15204,130,17,3635,8,3,11,1,2,43.9090919494629,111.46154022216801,124.166664123535,117.333335876465,96.5999984741211,0,0,0,3,1,2
18533,105,14,1368,3,2,10,1,2,36.785713195800795,64.375,51.2000007629395,51.7999992370605,85.8333358764648,1,1,1,2,2,2
60298,84,3,3126,10,2,16,1,2,30.1538467407227,392.0,51.5,46.5,0.0,2,1,1,2,1,2
26849,80,12,2389,8,2,6,1,2,25.8571434020996,30.1666660308838,36.6666679382324,23.6666660308838,0.0,2,2,1,2,1,2
40259,39,5,1156,5,3,13,1,2,25.307691574096697,32.9000015258789,43.5,38.75,109.666664123535,1,2,1,2,1,2
47667,109,11,3359,10,2,11,1,1,47.625,54.4285697937012,31.8333339691162,38.0,0.0,2,2,1,2,2,2
24130,48,4,1383,4,3,7,1,1,30.7142848968506,61.4285697937012,9.45454502105713,10.090909004211401,43.0,1,1,2,2,2,2
22053,114,19,2027,5,3,9,1,2,39.714286804199205,55.5999984741211,138.0,140.0,0.0,2,1,1,2,1,2
5358,127,8,1198,5,2,12,1,2,35.75,47.6666679382324,47.45454406738279,49.25,47.6666679382324,1,1,1,2,1,2
46842,149,11,3544,5,2,11,1,2,52.7000007629395,58.5555572509766,26.555555343627898,41.1428565979004,0.0,1,1,1,2,2,2
57774,79,21,2987,11,3,7,1,1,32.5,54.1666679382324,55.6666679382324,79.0,108.333335876465,2,2,2,2,1,2
14340,53,17,3698,4,2,11,1,2,21.444444656372102,38.5999984741211,20.5,27.75,3.85999989509583,1,1,1,2,1,1
58107,13,21,3138,13,3,15,1,2,50.384616851806605,93.5714263916016,65.40000152587889,65.59999847412111,131.0,1,1,1,2,2,2
51264,86,10,482,5,3,7,1,2,31.125,35.57143020629879,16.875,14.25,0.0,2,2,2,2,2,2
4642,1,0,1555,4,2,11,1,2,8.05882358551025,17.125,0.0,137.0,3.42499995231628,2,2,2,2,2,1
31697,155,23,3617,9,2,6,0,2,35.714286804199205,31.25,39.6666679382324,43.6666679382324,50.0,1,1,1,2,2,2
30854,26,23,2030,8,3,11,1,2,56.875,75.8333358764648,41.1666679382324,34.6666679382324,15.1666669845581,2,2,2,2,1,2
23290,33,4,1847,9,3,13,1,1,32.7777786254883,42.1428565979004,19.0,13.777777671814,0.0,1,1,1,2,2,2
40202,73,20,116,7,2,14,1,2,52.5,52.5,80.0,77.5,0.0,1,1,1,2,2,2
6725,99,8,3385,10,3,9,1,1,13.368420600891099,63.4000015258789,11.5454549789429,11.5454549789429,5.07999992370605,1,1,1,3,2,1
19779,115,14,2871,6,2,8,1,1,65.875,75.2857131958008,64.0,67.75,105.400001525879,1,1,1,2,1,2
12790,98,13,1837,10,3,9,1,1,24.5789470672607,66.7142868041992,116.5,117.0,46.7000007629395,1,1,1,3,2,2
34707,144,18,1875,5,2,6,1,1,73.1875,146.375,72.75,73.625,0.0,1,1,1,2,2,1
2850,17,2,268,5,2,11,1,2,32.4444427490234,48.6666679382324,38.0,35.0,0.0,1,2,1,2,2,2
49946,2,10,2428,14,3,12,1,1,51.5999984741211,64.5,88.0,84.0,103.199996948242,2,2,2,2,1,2
32745,38,23,1580,7,2,10,1,2,29.4500007629395,147.25,157.5,137.0,0.0,1,2,1,2,2,2
14533,53,17,2405,7,3,11,1,2,50.4285697937012,50.4285697937012,45.5,85.5,23.533332824707,2,2,1,2,1,2
41206,108,5,60,8,2,14,1,2,41.1666679382324,61.75,47.45454406738279,49.25,247.0,0,0,0,2,1,2
21479,83,19,1078,5,3,7,1,2,35.5555572509766,40.0,21.125,25.1666660308838,16.842105865478498,2,1,1,3,1,2
59537,123,3,138,6,1,14,1,2,43.4285697937012,101.333335876465,54.8333320617676,46.5,304.0,2,2,2,2,1,2
58102,13,21,3138,5,3,10,1,2,50.384616851806605,93.5714263916016,65.40000152587889,65.59999847412111,131.0,2,2,1,2,1,2
38006,42,7,3207,7,2,10,1,2,23.190475463867198,54.111110687255895,47.5999984741211,49.7999992370605,81.1666641235352,2,2,2,2,1,2
43985,70,15,3443,8,2,8,1,1,104.5,69.6666641235352,108.666664123535,100.333335876465,125.400001525879,2,2,2,2,2,2
60282,84,3,2004,12,2,11,1,1,24.125,82.7142868041992,71.25,73.5,96.5,2,2,1,3,2,2
37106,8,7,1196,5,3,13,1,2,52.0,47.2727279663086,46.5,60.25,520.0,2,1,2,2,1,2
19946,115,14,2359,5,2,10,1,1,7.0,5.83333349227905,2.16666674613953,3.66666674613953,0.0,2,2,2,2,1,2
16622,51,9,3507,6,3,12,1,1,46.0,87.4000015258789,118.25,100.25,218.5,2,1,1,2,2,2
33411,37,18,1023,4,2,7,1,2,31.294116973877,53.2000007629395,47.3333320617676,82.6666641235352,0.0,2,0,0,2,1,2
53903,67,16,3673,5,2,6,1,2,45.7142868041992,53.3333320617676,27.8333339691162,25.5,0.0,2,2,2,2,1,2
